Salesperson,Region,Quarter,Product,Leads,Calls,Meetings,Deals,Revenue
Aisha,North,Q1,Enterprise Suite,111,77,31,13,"2,20,155"
Aisha,North,Q1,Add-ons,91,69,21,7,"82,677"
Aisha,North,Q1,Starter Plan,144,110,42,19,"3,21,632"
Aisha,North,Q1,SMB Package,133,92,35,16,"1,29,696"
Aisha,North,Q2,Professional,115,78,34,13,"1,23,747"
Aisha,North,Q2,Starter Plan,128,85,36,15,"1,30,665"
Aisha,North,Q3,Professional,150,106,41,19,"2,64,575"
Aisha,North,Q3,Enterprise Suite,153,105,32,14,"1,78,374"
Aisha,North,Q3,SMB Package,90,73,31,12,"1,85,136"
Aisha,North,Q3,Add-ons,161,131,42,16,"1,97,984"
Aisha,North,Q4,Enterprise Suite,100,74,25,12,"2,05,500"
Aisha,North,Q4,SMB Package,108,84,35,16,"1,88,032"
Aisha,North,Q4,Starter Plan,185,121,42,16,"1,83,296"
Aisha,North,Q4,Add-ons,196,164,70,27,"4,36,833"
Arjun,South,Q1,Professional,97,67,25,9,"1,58,193"
Arjun,South,Q1,SMB Package,134,111,39,14,"1,43,724"
Arjun,South,Q1,Add-ons,145,108,44,21,"2,20,584"
Arjun,South,Q2,SMB Package,129,93,41,17,"2,90,088"
Arjun,South,Q2,Professional,190,159,63,23,"3,86,331"
Arjun,South,Q2,Starter Plan,176,123,48,17,"2,57,091"
Arjun,South,Q2,Enterprise Suite,100,74,32,15,"1,84,725"
Arjun,South,Q3,SMB Package,187,145,56,20,"2,12,920"
Arjun,South,Q3,Enterprise Suite,149,125,54,26,"4,63,138"
Arjun,South,Q3,Starter Plan,121,90,28,11,"1,43,418"
Arjun,South,Q3,Add-ons,110,72,31,15,"1,41,045"
Arjun,South,Q4,Professional,96,75,33,12,"1,99,740"
Arjun,South,Q4,Enterprise Suite,191,147,65,31,"3,50,145"
Arjun,South,Q4,Starter Plan,171,121,54,24,"3,64,248"
Arjun,South,Q4,Add-ons,195,146,46,17,"2,30,163"
Neha,East,Q1,Add-ons,155,107,33,14,"1,64,500"
Neha,East,Q1,SMB Package,88,73,31,11,"1,30,889"
Neha,East,Q2,Professional,96,76,32,13,"1,55,753"
Neha,East,Q2,SMB Package,180,134,48,17,"2,56,054"
Neha,East,Q2,Starter Plan,125,91,33,15,"1,44,180"
Neha,East,Q3,Professional,182,149,50,18,"2,76,300"
Neha,East,Q3,Starter Plan,97,71,24,9,"83,115"
Neha,East,Q4,Add-ons,163,138,58,28,"3,32,416"
Neha,East,Q4,Enterprise Suite,101,73,27,12,"1,07,520"
Neha,East,Q4,Professional,101,73,32,12,"1,85,448"
Rahul,West,Q1,Professional,104,73,32,13,"2,19,479"
Rahul,West,Q1,Add-ons,87,69,21,9,"1,46,142"
Rahul,West,Q1,Enterprise Suite,197,161,52,25,"2,32,800"
Rahul,West,Q2,Enterprise Suite,166,136,49,24,"4,15,992"
Rahul,West,Q2,Add-ons,111,85,26,9,"1,58,058"
Rahul,West,Q3,Add-ons,165,130,43,17,"2,19,555"
Rahul,West,Q3,Starter Plan,138,98,40,14,"2,17,112"
Rahul,West,Q3,SMB Package,159,135,60,21,"2,41,332"
Rahul,West,Q3,Enterprise Suite,144,101,44,21,"2,52,042"
Rahul,West,Q4,Starter Plan,186,141,48,23,"3,83,318"
Rahul,West,Q4,SMB Package,81,63,24,11,"1,06,667"
Rahul,West,Q4,Professional,200,165,56,27,"4,60,728"
Sneha,North,Q1,Starter Plan,157,108,37,16,"1,97,200"
Sneha,North,Q1,Add-ons,144,107,46,21,"1,99,752"
Sneha,North,Q2,Professional,122,98,38,14,"2,13,346"
Sneha,North,Q2,Starter Plan,150,118,45,16,"1,67,072"
Sneha,North,Q2,Enterprise Suite,149,97,34,14,"2,10,574"
Sneha,North,Q2,Add-ons,96,63,22,10,"86,530"
Sneha,North,Q3,SMB Package,93,67,25,12,"1,26,384"
Sneha,North,Q3,Add-ons,198,165,70,34,"3,70,600"
Sneha,North,Q3,Starter Plan,192,140,45,21,"3,09,645"
Sneha,North,Q4,SMB Package,128,105,45,17,"2,64,197"
Sneha,North,Q4,Starter Plan,124,88,36,13,"1,09,031"
Sneha,North,Q4,Enterprise Suite,164,112,39,18,"2,26,314"
Sneha,North,Q4,Professional,124,96,34,16,"2,68,560"
Vikram,South,Q1,Enterprise Suite,102,78,34,12,"2,13,288"
Vikram,South,Q1,Add-ons,135,97,40,16,"2,62,064"
Vikram,South,Q1,SMB Package,94,68,26,10,"1,51,440"
Vikram,South,Q2,Add-ons,126,92,40,19,"2,49,717"
Vikram,South,Q2,SMB Package,164,134,54,21,"2,74,407"
Vikram,South,Q3,Professional,150,101,36,17,"1,84,467"
Vikram,South,Q3,Starter Plan,158,120,43,20,"2,59,560"
Vikram,South,Q3,SMB Package,116,80,33,14,"1,85,906"
Vikram,South,Q3,Add-ons,139,102,40,17,"1,83,260"
Vikram,South,Q4,Enterprise Suite,91,74,30,13,"1,51,840"
Vikram,South,Q4,Starter Plan,183,126,38,14,"2,20,976"
Vikram,South,Q4,Professional,158,129,40,16,"2,78,896"
Vikram,South,Q4,SMB Package,104,82,29,11,"1,14,587"
Priya,East,Q1,Enterprise Suite,102,82,33,13,"2,22,716"
Priya,East,Q1,Add-ons,111,92,29,10,"1,56,120"
Priya,East,Q1,SMB Package,165,124,47,18,"2,74,518"
Priya,East,Q1,Professional,158,128,55,22,"3,73,472"
Priya,East,Q2,SMB Package,113,90,38,14,"2,31,560"
Priya,East,Q2,Professional,142,110,37,13,"1,64,853"
Priya,East,Q2,Add-ons,110,77,26,11,"1,12,937"
Priya,East,Q3,SMB Package,168,114,37,15,"2,01,315"
